num,cost,restart_count,bv_time
1,134,4,35
2,109,4,34
3,108,4,34
4,84,4,34
5,534,6,35
6,429,6,53
7,534,7,35
8,429,7,35
9,428,7,35
10,323,7,35
11,322,7,57
12,534,8,35
13,431,8,35
14,430,8,35
15,429,8,34
16,428,8,35
17,323,8,53
18,534,9,36
19,431,9,35
20,429,9,35
