num,cost,restart_count,bv_time
1,50,0,63079
2,45,3,333668
3,78,4,74367
4,77,4,73536
5,76,4,81301
6,74,4,154062
7,82,5,81367
8,81,5,82055
9,79,5,80598
10,78,5,87408
11,77,5,88909
12,76,5,90842
13,72,6,85908
14,71,6,87669
15,69,6,88810
16,68,6,91506
17,70,7,86271
18,68,8,87440
19,65,8,86439
20,62,8,88538
21,68,9,90363
22,67,9,88888
23,65,9,100643
24,64,9,87580
25,63,9,99933
