num,cost,restart_count,bv_time
1,383,0,43
2,363,1,46
3,204,1,70
4,392,2,47
5,231,2,44
6,416,3,48
7,416,4,48
8,280,4,45
9,273,4,45
10,570,5,47
11,570,6,49
12,542,6,46
13,517,6,45
14,492,6,46
15,467,6,45
16,322,6,45
17,321,6,46
18,320,6,46
19,318,6,46
20,317,6,46
21,570,7,49
22,570,8,79
23,570,9,76
24,317,9,73
