num,cost,restart_count,bv_time
1,324,0,2300
2,280,0,2325
3,279,0,1462
4,277,0,2343
5,86,3,1509
6,76,3,1501
7,78,4,1644
8,71,4,1648
9,70,5,1545
10,66,6,1536
11,58,6,1551
12,51,6,1547
13,50,6,1546
14,49,6,1549
15,66,7,1553
16,59,7,1570
17,58,7,1554
18,50,7,1565
19,49,7,1564
20,66,8,1732
21,62,8,1759
22,61,8,1734
23,60,8,1610
24,59,8,1625
25,65,9,1326
26,64,9,1322
