num,cost,restart_count,bv_time
1,142,0,1337
2,190,1,79
3,189,1,87
4,166,1,87
5,191,2,76
6,190,2,75
7,168,2,75
8,166,2,85
9,190,3,73
10,184,6,75
11,183,6,75
12,163,6,74
13,162,6,74
14,160,6,85
15,185,7,75
16,184,7,75
17,183,7,76
18,184,8,76
19,183,8,75
20,161,8,86
21,160,8,86
22,185,9,75
23,184,9,75
24,183,9,75
25,164,9,75
26,163,9,74
27,160,9,85
