4,fail,0.007
94,fail,0.007
13,fail,0.005
35,fail,0.007
3,fail,0.012
93,fail,0.014
34,fail,0.014
79,fail,0.018
12,fail,0.011
2,fail,0.008
67,fail,0.009
33,fail,0.008
92,fail,0.008
78,fail,0.011
1,fail,0.005
11,fail,0.012
66,fail,0.01
27,fail,0.01
32,fail,0.013
77,fail,0.007
91,fail,0.011
53,fail,0.004
10,fail,0.012
65,fail,0.016
31,fail,0.016
76,fail,0.023
90,fail,0.022
26,fail,0.027
19,fail,0.022
30,fail,0.011
64,fail,0.012
52,fail,0.011
9,fail,0.022
75,fail,0.025
89,fail,0.025
25,fail,0.02
18,fail,0.016
29,fail,0.013
51,fail,0.013
63,fail,0.016
8,fail,0.017
74,fail,0.013
17,fail,0.012
24,fail,0.012
88,fail,0.017
28,fail,0.011
50,fail,0.005
62,fail,0.005
7,fail,0.008
73,fail,0.008
23,fail,0.007
16,fail,0.01
45,fail,0.007
87,fail,0.009
49,fail,0.007
61,fail,0.004
72,fail,0.006
6,fail,0.009
15,fail,0.007
22,fail,0.007
44,fail,0.011
86,fail,0.011
48,fail,0.005
60,fail,0.005
71,fail,0.004
5,fail,0.007
14,fail,0.008
47,fail,0.008
43,fail,0.008
85,fail,0.008
21,fail,0.008
59,fail,0.004
70,fail,0.005
46,fail,0.005
42,fail,0.005
84,fail,0.005
58,fail,0.005
69,fail,0.004
20,fail,0.007
41,fail,0.006
83,fail,0.003
57,fail,0.004
68,fail,0.004
40,fail,0.004
56,fail,0.003
82,fail,0.005
55,fail,0.004
39,fail,0.003
81,fail,0.003
54,fail,0.003
38,fail,0.004
80,fail,0.002
37,fail,0.002
36,fail,0.002
